tractFIPS_left,SUM of Qty,tree planting sentence,many tree %ile,few tree %ile,priority category,pcanopy,canopy sentence,high canopy %ile,low canopy %ile,requests,requests sentence,high req %ile,low req %ile,prio_rank
17031031200,20,less than 87.3449131513648% of other census tracts,12.65508685,87.34491315,medium                                                                          ,12.57407358,less than 88.8059701492537% of other census tracts,11.19402985,88.80597015,59,less than 54.6019900497512% of other census tracts,45.39800995,54.60199005,253
17031031300,28,less than 79.6526054590571% of other census tracts,20.34739454,79.65260546,low                                                                             ,26.87715416,more than 83.8308457711443% of other census tracts,83.83084577,16.16915423,53,less than 57.8358208955224% of other census tracts,42.1641791,57.8358209,106
17031031400,43,less than 65.6327543424318% of other census tracts,34.36724566,65.63275434,low                                                                             ,21.90478977,more than 59.0796019900498% of other census tracts,59.07960199,40.92039801,18,less than 85.8208955223881% of other census tracts,14.17910448,85.82089552,50
17031031501,13,less than 92.4317617866005% of other census tracts,7.568238213,92.43176179,medium                                                                          ,18.59144114,less than 58.8308457711443% of other census tracts,41.16915423,58.83084577,10,less than 93.407960199005% of other census tracts,6.592039801,93.4079602,230
17031031502,26,less than 81.7617866004963% of other census tracts,18.2382134,81.7617866,medium                                                                          ,17.19268921,less than 68.407960199005% of other census tracts,31.5920398,68.4079602,65,less than 50.1243781094527% of other census tracts,49.87562189,50.12437811,220
17031031700,78,more than 59.5533498759305% of other census tracts,59.55334988,40.44665012,low                                                                             ,26.84475965,more than 83.7064676616915% of other census tracts,83.70646766,16.29353234,170,more than 83.2089552238806% of other census tracts,83.20895522,16.79104478,80
17031031800,19,less than 87.9652605459057% of other census tracts,12.03473945,87.96526055,medium                                                                          ,20.9283813,more than 54.3532338308458% of other census tracts,54.35323383,45.64676617,36,less than 70.8955223880597% of other census tracts,29.10447761,70.89552239,142
17031031900,48,less than 62.7791563275434% of other census tracts,37.22084367,62.77915633,low                                                                             ,26.70470948,more than 82.8358208955224% of other census tracts,82.8358209,17.1641791,67,more than 51.1194029850746% of other census tracts,51.11940299,48.88059701,100
17031032100,51,less than 59.8014888337469% of other census tracts,40.19851117,59.80148883,medium                                                                          ,21.26478296,more than 55.9701492537313% of other census tracts,55.97014925,44.02985075,90,more than 63.0597014925373% of other census tracts,63.05970149,36.94029851,183
17031040100,120,more than 78.7841191066998% of other census tracts,78.78411911,21.21588089,low                                                                             ,33.27135393,more than 95.3980099502488% of other census tracts,95.39800995,4.60199005,136,more than 77.1144278606965% of other census tracts,77.11442786,22.88557214,54
17031040201,136,more than 83.2506203473946% of other census tracts,83.25062035,16.74937965,medium                                                                          ,19.96315744,less than 50.7462686567164% of other census tracts,49.25373134,50.74626866,166,more than 82.5870646766169% of other census tracts,82.58706468,17.41293532,153
